Date,Settlement Period,BSUoS Price
01/01/2010,1,1.40476
01/01/2010,2,1.41493
01/01/2010,3,1.35112
01/01/2010,4,1.067
01/01/2010,5,0.81254
01/01/2010,6,0.87563
01/01/2010,7,1.19487
01/01/2010,8,0.97445
01/01/2010,9,0.9131
01/01/2010,10,0.85914
01/01/2010,11,0.77611
01/01/2010,12,0.71564
01/01/2010,13,0.76038
01/01/2010,14,0.74959
01/01/2010,15,0.61878
01/01/2010,16,0.18674
01/01/2010,17,0.15578
01/01/2010,18,0.12983
01/01/2010,19,-0.00662
01/01/2010,20,0.35328
01/01/2010,21,0.67742
01/01/2010,22,1.10022
01/01/2010,23,1.12606
01/01/2010,24,1.25158
01/01/2010,25,1.65304
01/01/2010,26,1.73911
01/01/2010,27,1.41889
01/01/2010,28,1.08161
01/01/2010,29,0.95693
01/01/2010,30,0.89354
01/01/2010,31,0.76119
01/01/2010,32,0.82151
01/01/2010,33,1.48521
01/01/2010,34,2.11608
01/01/2010,35,2.76982
01/01/2010,36,2.40056
01/01/2010,37,2.13076
01/01/2010,38,1.80524
01/01/2010,39,1.28147
01/01/2010,40,1.3605
01/01/2010,41,1.81047
01/01/2010,42,1.68782
01/01/2010,43,1.65281
01/01/2010,44,1.22938
01/01/2010,45,0.69768
01/01/2010,46,0.73098
01/01/2010,47,1.55655
01/01/2010,48,0.95259
02/01/2010,1,0.63576
02/01/2010,2,0.76308
02/01/2010,3,0.6406
02/01/2010,4,0.4209
02/01/2010,5,0.38026
02/01/2010,6,0.61935
02/01/2010,7,0.91487
02/01/2010,8,0.5083
02/01/2010,9,0.22579
02/01/2010,10,0.19239
02/01/2010,11,0.11029
02/01/2010,12,0.10208
02/01/2010,13,0.20531
02/01/2010,14,-0.01523
02/01/2010,15,0.05463
02/01/2010,16,0.11303
02/01/2010,17,0.16304
02/01/2010,18,0.08908
02/01/2010,19,0.15913
02/01/2010,20,0.34188
02/01/2010,21,0.34981
02/01/2010,22,0.39392
02/01/2010,23,0.70955
02/01/2010,24,0.62071
02/01/2010,25,0.98166
02/01/2010,26,1.08617
02/01/2010,27,0.69816
02/01/2010,28,0.23517
02/01/2010,29,0.22222
02/01/2010,30,0.03582
02/01/2010,31,-0.16301
02/01/2010,32,-0.1747
02/01/2010,33,0.53545
02/01/2010,34,0.81829
02/01/2010,35,0.80421
02/01/2010,36,0.71781
02/01/2010,37,0.71239
02/01/2010,38,0.64133
02/01/2010,39,1.03608
02/01/2010,40,1.07126
02/01/2010,41,0.98991
02/01/2010,42,0.79035
02/01/2010,43,0.61584
02/01/2010,44,0.34554
02/01/2010,45,0.60622
02/01/2010,46,1.46304
02/01/2010,47,0.56988
02/01/2010,48,0.49631
03/01/2010,1,0.5188
03/01/2010,2,0.31924
03/01/2010,3,0.35713
03/01/2010,4,0.26869
03/01/2010,5,0.23687
03/01/2010,6,0.2884
03/01/2010,7,0.22693
03/01/2010,8,0.22825
03/01/2010,9,0.24433
03/01/2010,10,0.16687
03/01/2010,11,0.11604
03/01/2010,12,0.17408
03/01/2010,13,0.18089
03/01/2010,14,0.22042
03/01/2010,15,0.12699
03/01/2010,16,-0.01758
03/01/2010,17,0.10969
03/01/2010,18,0.08205
03/01/2010,19,0.07039
03/01/2010,20,0.24041
03/01/2010,21,0.31682
03/01/2010,22,1.23881
03/01/2010,23,1.58708
03/01/2010,24,1.3705
03/01/2010,25,1.39804
03/01/2010,26,1.27028
03/01/2010,27,1.16808
03/01/2010,28,0.79149
03/01/2010,29,0.55083
03/01/2010,30,0.31387
03/01/2010,31,0.07629
03/01/2010,32,0.09682
03/01/2010,33,1.12509
03/01/2010,34,1.76109
03/01/2010,35,2.44437
03/01/2010,36,1.90769
03/01/2010,37,1.65089
03/01/2010,38,1.18941
03/01/2010,39,1.50291
03/01/2010,40,0.66685
03/01/2010,41,0.86979
03/01/2010,42,0.73734
03/01/2010,43,0.65373
03/01/2010,44,0.24154
03/01/2010,45,0.09126
03/01/2010,46,-0.02894
03/01/2010,47,0.48499
03/01/2010,48,0.48003
04/01/2010,1,1.12787
04/01/2010,2,0.93859
04/01/2010,3,0.75654
04/01/2010,4,0.51347
04/01/2010,5,0.48517
04/01/2010,6,0.34887
04/01/2010,7,0.61195
04/01/2010,8,0.65416
04/01/2010,9,0.58645
04/01/2010,10,0.56918
04/01/2010,11,0.55413
04/01/2010,12,0.41522
04/01/2010,13,0.47944
04/01/2010,14,0.4366
04/01/2010,15,0.40345
04/01/2010,16,0.6489
04/01/2010,17,0.88867
04/01/2010,18,1.20204
04/01/2010,19,2.59574
04/01/2010,20,2.12545
04/01/2010,21,1.64118
04/01/2010,22,1.11301
04/01/2010,23,0.97499
04/01/2010,24,0.85218
04/01/2010,25,0.65984
04/01/2010,26,0.46387
04/01/2010,27,0.43034
04/01/2010,28,0.27805
04/01/2010,29,0.29017
04/01/2010,30,0.15933
04/01/2010,31,0.14391
04/01/2010,32,0.42524
04/01/2010,33,0.46736
04/01/2010,34,0.80229
04/01/2010,35,0.6944
04/01/2010,36,0.53105
04/01/2010,37,0.5277
04/01/2010,38,0.5504
04/01/2010,39,1.67197
04/01/2010,40,1.55633
04/01/2010,41,1.1969
04/01/2010,42,1.62602
04/01/2010,43,1.66049
04/01/2010,44,1.47196
04/01/2010,45,1.18389
04/01/2010,46,0.68512
04/01/2010,47,0.46598
04/01/2010,48,0.39296
05/01/2010,1,1.13546
05/01/2010,2,1.23816
05/01/2010,3,0.81281
05/01/2010,4,0.6099
05/01/2010,5,0.43315
05/01/2010,6,0.48569
05/01/2010,7,0.37867
05/01/2010,8,0.29602
05/01/2010,9,0.36138
05/01/2010,10,0.26126
05/01/2010,11,0.23734
05/01/2010,12,0.16596
05/01/2010,13,0.44405
05/01/2010,14,0.28971
05/01/2010,15,0.42978
05/01/2010,16,0.42897
05/01/2010,17,0.55324
05/01/2010,18,0.34268
05/01/2010,19,0.39386
05/01/2010,20,0.66343
05/01/2010,21,0.48964
05/01/2010,22,0.50485
05/01/2010,23,0.69887
05/01/2010,24,1.05883
05/01/2010,25,0.65278
05/01/2010,26,0.68226
05/01/2010,27,0.61231
05/01/2010,28,0.31005
05/01/2010,29,0.18673
05/01/2010,30,0.24333
05/01/2010,31,-0.06475
05/01/2010,32,0.07247
05/01/2010,33,0.06903
05/01/2010,34,0.01081
05/01/2010,35,-0.03808
05/01/2010,36,0.07673
05/01/2010,37,0.20189
05/01/2010,38,0.15747
05/01/2010,39,1.03737
05/01/2010,40,1.08511
05/01/2010,41,1.0121
05/01/2010,42,0.68746
05/01/2010,43,0.5828
05/01/2010,44,0.57504
05/01/2010,45,1.55759
05/01/2010,46,1.22476
05/01/2010,47,0.93468
05/01/2010,48,0.53762
06/01/2010,1,0.44696
06/01/2010,2,0.30349
06/01/2010,3,0.17601
06/01/2010,4,0.17168
06/01/2010,5,0.1712
06/01/2010,6,0.08513
06/01/2010,7,0.16069
06/01/2010,8,0.11193
06/01/2010,9,0.05303
06/01/2010,10,-0.0023
06/01/2010,11,-0.00474
06/01/2010,12,0.07257
06/01/2010,13,0.04047
06/01/2010,14,-0.15882
06/01/2010,15,-0.66199
06/01/2010,16,-0.55398
06/01/2010,17,-0.56317
06/01/2010,18,-0.34617
06/01/2010,19,0.14626
06/01/2010,20,0.32212
06/01/2010,21,0.20675
06/01/2010,22,0.12231
06/01/2010,23,0.06285
06/01/2010,24,0.1614
06/01/2010,25,0.31202
06/01/2010,26,0.29322
06/01/2010,27,0.63432
06/01/2010,28,0.38267
06/01/2010,29,0.23522
06/01/2010,30,0.07661
06/01/2010,31,0.11147
06/01/2010,32,0.03688
06/01/2010,33,-0.30782
06/01/2010,34,0.09984
06/01/2010,35,0.0065
06/01/2010,36,-0.02695
06/01/2010,37,0.14133
06/01/2010,38,-0.05952
06/01/2010,39,0.32883
06/01/2010,40,0.77717
06/01/2010,41,0.30195
06/01/2010,42,0.2348
06/01/2010,43,0.62355
06/01/2010,44,0.26068
06/01/2010,45,0.32694
06/01/2010,46,0.15714
06/01/2010,47,0.70638
06/01/2010,48,0.21292
07/01/2010,1,0.93031
07/01/2010,2,0.9048
07/01/2010,3,1.13578
07/01/2010,4,0.84146
07/01/2010,5,0.86063
07/01/2010,6,0.76174
07/01/2010,7,0.80357
07/01/2010,8,0.86157
07/01/2010,9,0.84256
07/01/2010,10,0.77174
07/01/2010,11,0.58253
07/01/2010,12,0.71384
07/01/2010,13,1.19893
07/01/2010,14,0.4934
07/01/2010,15,-0.04709
07/01/2010,16,0.07695
07/01/2010,17,0.1596
07/01/2010,18,0.33118
07/01/2010,19,0.9035
07/01/2010,20,1.43385
07/01/2010,21,1.64839
07/01/2010,22,1.51152
07/01/2010,23,1.38961
07/01/2010,24,1.22075
07/01/2010,25,1.24753
07/01/2010,26,0.94328
07/01/2010,27,1.10851
07/01/2010,28,0.87718
07/01/2010,29,0.89421
07/01/2010,30,0.62708
07/01/2010,31,0.29134
07/01/2010,32,0.52658
07/01/2010,33,0.45177
07/01/2010,34,1.67208
07/01/2010,35,2.31295
07/01/2010,36,1.53152
07/01/2010,37,0.85464
07/01/2010,38,0.82708
07/01/2010,39,1.33427
07/01/2010,40,1.06584
07/01/2010,41,1.39066
07/01/2010,42,1.9503
07/01/2010,43,1.80746
07/01/2010,44,2.30793
07/01/2010,45,2.45671
07/01/2010,46,2.22052
07/01/2010,47,1.79521
07/01/2010,48,1.45995
08/01/2010,1,1.79707
08/01/2010,2,1.52614
08/01/2010,3,1.39864
08/01/2010,4,1.32785
08/01/2010,5,1.20068
08/01/2010,6,1.19245
08/01/2010,7,1.31025
08/01/2010,8,1.28555
08/01/2010,9,1.1699
08/01/2010,10,1.41919
08/01/2010,11,1.38109
08/01/2010,12,1.1936
08/01/2010,13,1.78633
08/01/2010,14,1.88566
08/01/2010,15,1.09827
08/01/2010,16,1.33014
08/01/2010,17,1.88772
08/01/2010,18,1.5079
08/01/2010,19,1.5792
08/01/2010,20,2.05708
08/01/2010,21,2.23666
08/01/2010,22,2.26114
08/01/2010,23,2.92682
08/01/2010,24,3.09578
08/01/2010,25,2.36423
08/01/2010,26,1.76526
08/01/2010,27,1.84907
08/01/2010,28,1.60029
08/01/2010,29,1.94859
08/01/2010,30,1.49925
08/01/2010,31,0.91578
08/01/2010,32,0.8238
08/01/2010,33,1.04855
08/01/2010,34,2.87309
08/01/2010,35,2.72955
08/01/2010,36,2.33424
08/01/2010,37,2.12697
08/01/2010,38,1.57425
08/01/2010,39,2.06177
08/01/2010,40,1.83575
08/01/2010,41,1.29628
08/01/2010,42,1.09836
08/01/2010,43,1.33413
08/01/2010,44,1.45102
08/01/2010,45,1.30179
08/01/2010,46,1.08233
08/01/2010,47,0.98619
08/01/2010,48,0.98265
09/01/2010,1,1.29727
09/01/2010,2,1.00894
09/01/2010,3,0.91209
09/01/2010,4,0.56762
09/01/2010,5,0.18999
09/01/2010,6,0.07151
09/01/2010,7,0.24235
09/01/2010,8,0.07485
09/01/2010,9,0.237
09/01/2010,10,0.33489
09/01/2010,11,0.2677
09/01/2010,12,0.26022
09/01/2010,13,0.31829
09/01/2010,14,0.09318
09/01/2010,15,0.01829
09/01/2010,16,0.05519
09/01/2010,17,-0.03045
09/01/2010,18,-0.0374
09/01/2010,19,0.57335
09/01/2010,20,1.3164
09/01/2010,21,1.55546
09/01/2010,22,1.3611
09/01/2010,23,1.68748
09/01/2010,24,1.45868
09/01/2010,25,1.72219
09/01/2010,26,1.96095
