Settlement Day,Settlement Period,BSUoS Price
01/01/2014,1,3.07511
01/01/2014,2,3.01822
01/01/2014,3,3.08617
01/01/2014,4,2.51349
01/01/2014,5,2.43421
01/01/2014,6,2.14367
01/01/2014,7,2.44927
01/01/2014,8,2.09119
01/01/2014,9,1.81627
01/01/2014,10,1.57152
01/01/2014,11,1.68191
01/01/2014,12,1.80781
01/01/2014,13,1.87065
01/01/2014,14,1.49782
01/01/2014,15,1.02446
01/01/2014,16,0.84731
01/01/2014,17,0.87173
01/01/2014,18,0.6706
01/01/2014,19,0.63292
01/01/2014,20,0.81834
01/01/2014,21,1.39323
01/01/2014,22,2.16274
01/01/2014,23,1.97104
01/01/2014,24,2.51947
01/01/2014,25,3.50398
01/01/2014,26,3.40243
01/01/2014,27,3.80085
01/01/2014,28,3.34647
01/01/2014,29,3.34569
01/01/2014,30,3.33645
01/01/2014,31,2.58458
01/01/2014,32,2.39641
01/01/2014,33,2.98638
01/01/2014,34,3.37163
01/01/2014,35,3.60464
01/01/2014,36,3.41878
01/01/2014,37,2.99149
01/01/2014,38,2.90067
01/01/2014,39,2.45201
01/01/2014,40,2.77538
01/01/2014,41,2.83972
01/01/2014,42,2.27775
01/01/2014,43,2.25634
01/01/2014,44,1.52328
01/01/2014,45,1.29005
01/01/2014,46,1.6166
01/01/2014,47,1.38786
01/01/2014,48,0.9185
02/01/2014,1,0.7632
02/01/2014,2,0.93805
02/01/2014,3,0.94608
02/01/2014,4,0.70501
02/01/2014,5,0.73791
02/01/2014,6,0.97852
02/01/2014,7,0.93529
02/01/2014,8,0.73661
02/01/2014,9,0.62574
02/01/2014,10,0.70096
02/01/2014,11,1.21189
02/01/2014,12,1.27498
02/01/2014,13,1.87959
02/01/2014,14,1.68322
02/01/2014,15,2.07489
02/01/2014,16,1.89469
02/01/2014,17,1.66657
02/01/2014,18,2.14971
02/01/2014,19,2.28933
02/01/2014,20,1.87128
02/01/2014,21,1.62808
02/01/2014,22,1.45052
02/01/2014,23,1.15136
02/01/2014,24,1.18624
02/01/2014,25,1.42747
02/01/2014,26,1.23173
02/01/2014,27,1.30016
02/01/2014,28,1.11779
02/01/2014,29,1.16518
02/01/2014,30,1.05348
02/01/2014,31,1.33277
02/01/2014,32,1.41451
02/01/2014,33,1.79341
02/01/2014,34,2.35676
02/01/2014,35,2.83406
02/01/2014,36,3.76803
02/01/2014,37,2.98417
02/01/2014,38,1.902
02/01/2014,39,1.90637
02/01/2014,40,2.01254
02/01/2014,41,1.39994
02/01/2014,42,1.29337
02/01/2014,43,0.90394
02/01/2014,44,1.0247
02/01/2014,45,1.02291
02/01/2014,46,1.55704
02/01/2014,47,2.54605
02/01/2014,48,3.82366
03/01/2014,1,3.28564
03/01/2014,2,3.75202
03/01/2014,3,3.59751
03/01/2014,4,2.52754
03/01/2014,5,2.49155
03/01/2014,6,2.63328
03/01/2014,7,2.84769
03/01/2014,8,2.4659
03/01/2014,9,2.12129
03/01/2014,10,2.37443
03/01/2014,11,3.11572
03/01/2014,12,3.32905
03/01/2014,13,3.83465
03/01/2014,14,2.89757
03/01/2014,15,3.1432
03/01/2014,16,3.06843
03/01/2014,17,2.73998
03/01/2014,18,2.92457
03/01/2014,19,2.70961
03/01/2014,20,2.27548
03/01/2014,21,2.52551
03/01/2014,22,2.09564
03/01/2014,23,1.97635
03/01/2014,24,2.3453
03/01/2014,25,2.1629
03/01/2014,26,2.32608
03/01/2014,27,2.70206
03/01/2014,28,2.68011
03/01/2014,29,2.66967
03/01/2014,30,2.07311
03/01/2014,31,1.74054
03/01/2014,32,1.62227
03/01/2014,33,2.61756
03/01/2014,34,3.64576
03/01/2014,35,3.66453
03/01/2014,36,3.23339
03/01/2014,37,2.86158
03/01/2014,38,2.36979
03/01/2014,39,2.25145
03/01/2014,40,2.29526
03/01/2014,41,2.73545
03/01/2014,42,3.12251
03/01/2014,43,3.34867
03/01/2014,44,3.0561
03/01/2014,45,3.05596
03/01/2014,46,3.13741
03/01/2014,47,3.62848
03/01/2014,48,3.65161
04/01/2014,1,3.66903
04/01/2014,2,3.74609
04/01/2014,3,3.887
04/01/2014,4,4.10155
04/01/2014,5,4.08895
04/01/2014,6,3.7945
04/01/2014,7,3.77764
04/01/2014,8,2.67587
04/01/2014,9,2.37136
04/01/2014,10,2.34039
04/01/2014,11,2.22149
04/01/2014,12,2.0045
04/01/2014,13,2.28958
04/01/2014,14,1.68151
04/01/2014,15,0.69639
04/01/2014,16,0.63434
04/01/2014,17,1.34457
04/01/2014,18,1.24994
04/01/2014,19,1.77842
04/01/2014,20,1.2702
04/01/2014,21,1.01868
04/01/2014,22,1.03342
04/01/2014,23,1.58393
04/01/2014,24,1.42708
04/01/2014,25,1.60093
04/01/2014,26,1.80328
04/01/2014,27,1.8586
04/01/2014,28,1.76119
04/01/2014,29,1.64024
04/01/2014,30,1.65728
04/01/2014,31,1.78154
04/01/2014,32,1.4235
04/01/2014,33,1.75406
04/01/2014,34,2.24949
04/01/2014,35,3.4348
04/01/2014,36,3.9107
04/01/2014,37,3.34295
04/01/2014,38,2.28429
04/01/2014,39,2.29351
04/01/2014,40,1.87675
04/01/2014,41,1.37154
04/01/2014,42,1.28777
04/01/2014,43,1.49298
04/01/2014,44,1.43376
04/01/2014,45,1.6984
04/01/2014,46,1.51244
04/01/2014,47,1.62474
04/01/2014,48,1.27024
05/01/2014,1,1.3529
05/01/2014,2,1.36778
05/01/2014,3,1.52124
05/01/2014,4,1.32459
05/01/2014,5,1.02382
05/01/2014,6,0.94509
05/01/2014,7,1.08263
05/01/2014,8,1.13587
05/01/2014,9,1.06986
05/01/2014,10,1.3078
05/01/2014,11,1.31431
05/01/2014,12,1.30202
05/01/2014,13,1.33978
05/01/2014,14,1.20247
05/01/2014,15,1.25493
05/01/2014,16,1.34484
05/01/2014,17,1.07612
05/01/2014,18,0.94431
05/01/2014,19,0.95776
05/01/2014,20,0.95868
05/01/2014,21,1.60198
05/01/2014,22,1.41701
05/01/2014,23,1.45378
05/01/2014,24,1.53825
05/01/2014,25,1.82186
05/01/2014,26,2.0237
05/01/2014,27,1.80142
05/01/2014,28,1.25143
05/01/2014,29,1.4094
05/01/2014,30,1.20428
05/01/2014,31,0.8868
05/01/2014,32,1.09615
05/01/2014,33,1.84711
05/01/2014,34,2.14557
05/01/2014,35,2.72329
05/01/2014,36,2.41977
05/01/2014,37,2.47188
05/01/2014,38,2.36132
05/01/2014,39,2.36556
05/01/2014,40,2.55287
05/01/2014,41,2.81956
05/01/2014,42,2.46235
05/01/2014,43,2.38044
05/01/2014,44,2.63544
05/01/2014,45,3.01006
05/01/2014,46,2.62024
05/01/2014,47,2.38402
05/01/2014,48,2.82598
06/01/2014,1,2.83339
06/01/2014,2,2.70007
06/01/2014,3,2.76504
06/01/2014,4,2.43337
06/01/2014,5,2.31461
06/01/2014,6,2.32007
06/01/2014,7,2.24681
06/01/2014,8,2.00061
06/01/2014,9,1.84956
06/01/2014,10,2.25872
06/01/2014,11,2.45954
06/01/2014,12,2.73305
06/01/2014,13,3.27304
06/01/2014,14,3.26318
06/01/2014,15,2.68968
06/01/2014,16,2.42832
06/01/2014,17,1.89337
06/01/2014,18,2.02233
06/01/2014,19,2.1622
06/01/2014,20,2.44763
06/01/2014,21,1.97347
06/01/2014,22,1.88071
06/01/2014,23,1.74693
06/01/2014,24,1.60865
06/01/2014,25,1.62427
06/01/2014,26,1.57481
06/01/2014,27,1.67708
06/01/2014,28,1.51594
06/01/2014,29,1.56804
06/01/2014,30,1.48304
06/01/2014,31,1.6251
06/01/2014,32,1.64269
06/01/2014,33,2.30941
06/01/2014,34,2.70083
06/01/2014,35,2.76356
06/01/2014,36,2.22299
06/01/2014,37,2.27514
06/01/2014,38,1.9974
06/01/2014,39,2.19285
06/01/2014,40,2.22251
06/01/2014,41,2.10918
06/01/2014,42,2.1269
06/01/2014,43,2.45949
06/01/2014,44,2.28345
06/01/2014,45,2.19532
06/01/2014,46,2.54927
06/01/2014,47,3.40726
06/01/2014,48,3.44249
07/01/2014,1,3.33061
07/01/2014,2,3.70351
07/01/2014,3,3.47285
07/01/2014,4,3.085
07/01/2014,5,3.27488
07/01/2014,6,3.25997
07/01/2014,7,2.74699
07/01/2014,8,2.49155
07/01/2014,9,2.53979
07/01/2014,10,2.5856
07/01/2014,11,3.52772
07/01/2014,12,3.87078
07/01/2014,13,4.08243
07/01/2014,14,4.26938
07/01/2014,15,3.7135
07/01/2014,16,3.41491
07/01/2014,17,1.92093
07/01/2014,18,1.51126
07/01/2014,19,1.40486
07/01/2014,20,1.67126
07/01/2014,21,2.09567
07/01/2014,22,1.90559
07/01/2014,23,1.70628
07/01/2014,24,1.59308
07/01/2014,25,1.68974
07/01/2014,26,1.60512
07/01/2014,27,2.17299
07/01/2014,28,2.21373
07/01/2014,29,2.05552
07/01/2014,30,1.95047
07/01/2014,31,1.65341
07/01/2014,32,1.26573
07/01/2014,33,1.75042
07/01/2014,34,2.55708
07/01/2014,35,2.56101
07/01/2014,36,2.38675
07/01/2014,37,2.43596
07/01/2014,38,1.64453
07/01/2014,39,1.86669
07/01/2014,40,1.74253
07/01/2014,41,1.51691
07/01/2014,42,1.3821
07/01/2014,43,1.65662
07/01/2014,44,1.47403
07/01/2014,45,1.72837
07/01/2014,46,2.0849
07/01/2014,47,1.84205
07/01/2014,48,2.2546
08/01/2014,1,2.60072
08/01/2014,2,2.80288
08/01/2014,3,2.3443
08/01/2014,4,2.30678
08/01/2014,5,2.01654
08/01/2014,6,2.22411
08/01/2014,7,1.91712
08/01/2014,8,1.80715
08/01/2014,9,1.78969
08/01/2014,10,1.66148
08/01/2014,11,1.88971
08/01/2014,12,2.18708
08/01/2014,13,2.44973
08/01/2014,14,2.1484
08/01/2014,15,1.5636
08/01/2014,16,2.14102
08/01/2014,17,1.94528
08/01/2014,18,1.4698
08/01/2014,19,1.5069
08/01/2014,20,1.36795
08/01/2014,21,1.19606
08/01/2014,22,1.24021
08/01/2014,23,1.28753
08/01/2014,24,1.37343
08/01/2014,25,1.43339
08/01/2014,26,1.62505
08/01/2014,27,2.16007
08/01/2014,28,1.84233
08/01/2014,29,1.84662
08/01/2014,30,1.64067
08/01/2014,31,1.77672
08/01/2014,32,2.18789
08/01/2014,33,2.13488
08/01/2014,34,2.23645
08/01/2014,35,1.67691
08/01/2014,36,1.38781
08/01/2014,37,1.21842
08/01/2014,38,1.06447
08/01/2014,39,1.18944
08/01/2014,40,1.32191
08/01/2014,41,1.14624
08/01/2014,42,1.15099
08/01/2014,43,1.1252
08/01/2014,44,1.17628
08/01/2014,45,0.57322
08/01/2014,46,0.95646
08/01/2014,47,1.10747
08/01/2014,48,1.21817
09/01/2014,1,1.21765
09/01/2014,2,1.56167
09/01/2014,3,1.29594
09/01/2014,4,1.23031
09/01/2014,5,0.80231
09/01/2014,6,0.88901
