Date,Period,BSUoS
01/01/2017,1,2.71481
01/01/2017,2,3.25964
01/01/2017,3,2.8702
01/01/2017,4,2.31475
01/01/2017,5,2.20205
01/01/2017,6,2.49103
01/01/2017,7,2.5188
01/01/2017,8,2.44951
01/01/2017,9,3.10325
01/01/2017,10,2.94094
01/01/2017,11,3.12647
01/01/2017,12,2.81729
01/01/2017,13,2.60034
01/01/2017,14,2.56323
01/01/2017,15,2.70729
01/01/2017,16,2.53124
01/01/2017,17,2.23648
01/01/2017,18,2.22926
01/01/2017,19,2.7465
01/01/2017,20,2.9583
01/01/2017,21,2.26017
01/01/2017,22,2.3242
01/01/2017,23,2.52951
01/01/2017,24,2.60512
01/01/2017,25,2.38095
01/01/2017,26,2.35311
01/01/2017,27,2.36998
01/01/2017,28,2.11916
01/01/2017,29,2.3358
01/01/2017,30,2.71286
01/01/2017,31,2.83452
01/01/2017,32,2.80629
01/01/2017,33,3.15395
01/01/2017,34,2.90057
01/01/2017,35,3.50196
01/01/2017,36,3.00158
01/01/2017,37,2.60621
01/01/2017,38,2.86929
01/01/2017,39,3.33172
01/01/2017,40,2.8333
01/01/2017,41,3.08082
01/01/2017,42,3.13926
01/01/2017,43,2.29442
01/01/2017,44,2.50673
01/01/2017,45,3.4905
01/01/2017,46,3.00818
01/01/2017,47,3.15914
01/01/2017,48,3.4601
02/01/2017,1,2.89537
02/01/2017,2,3.03901
02/01/2017,3,2.97549
02/01/2017,4,2.25666
02/01/2017,5,1.90888
02/01/2017,6,2.12531
02/01/2017,7,2.72038
02/01/2017,8,2.34589
02/01/2017,9,2.40108
02/01/2017,10,2.75477
02/01/2017,11,3.24372
02/01/2017,12,2.99513
02/01/2017,13,3.30858
02/01/2017,14,2.91413
02/01/2017,15,2.14764
02/01/2017,16,1.88854
02/01/2017,17,1.90652
02/01/2017,18,1.94919
02/01/2017,19,1.87328
02/01/2017,20,1.82867
02/01/2017,21,1.63201
02/01/2017,22,1.94495
02/01/2017,23,1.78631
02/01/2017,24,1.64465
02/01/2017,25,1.57372
02/01/2017,26,1.50825
02/01/2017,27,1.48375
02/01/2017,28,1.29427
02/01/2017,29,1.20516
02/01/2017,30,1.4765
02/01/2017,31,1.47965
02/01/2017,32,1.67354
02/01/2017,33,1.86477
02/01/2017,34,2.84568
02/01/2017,35,2.66939
02/01/2017,36,3.13493
02/01/2017,37,3.28151
02/01/2017,38,2.99118
02/01/2017,39,2.45699
02/01/2017,40,2.26164
02/01/2017,41,2.08592
02/01/2017,42,1.85976
02/01/2017,43,1.67574
02/01/2017,44,1.16565
02/01/2017,45,1.2967
02/01/2017,46,1.4466
02/01/2017,47,2.26237
02/01/2017,48,1.9708
03/01/2017,1,1.28952
03/01/2017,2,1.60874
03/01/2017,3,1.64517
03/01/2017,4,1.46299
03/01/2017,5,1.31252
03/01/2017,6,1.19143
03/01/2017,7,1.78193
03/01/2017,8,2.07699
03/01/2017,9,2.94734
03/01/2017,10,3.24078
03/01/2017,11,3.31919
03/01/2017,12,3.74945
03/01/2017,13,4.20628
03/01/2017,14,3.93814
03/01/2017,15,3.66084
03/01/2017,16,2.98905
03/01/2017,17,2.71994
03/01/2017,18,3.17874
03/01/2017,19,3.46585
03/01/2017,20,3.32171
03/01/2017,21,2.65131
03/01/2017,22,2.09301
03/01/2017,23,1.66409
03/01/2017,24,1.43057
03/01/2017,25,1.66232
03/01/2017,26,1.76222
03/01/2017,27,1.97795
03/01/2017,28,1.80644
03/01/2017,29,2.00743
03/01/2017,30,1.86457
03/01/2017,31,1.52752
03/01/2017,32,1.20576
03/01/2017,33,1.80376
03/01/2017,34,1.87654
03/01/2017,35,2.26409
03/01/2017,36,2.20111
03/01/2017,37,2.38164
03/01/2017,38,2.22722
03/01/2017,39,2.26527
03/01/2017,40,2.07444
03/01/2017,41,2.61745
03/01/2017,42,2.38959
03/01/2017,43,1.74428
03/01/2017,44,1.18602
03/01/2017,45,1.09941
03/01/2017,46,0.44629
03/01/2017,47,1.15316
03/01/2017,48,1.36006
04/01/2017,1,1.43493
04/01/2017,2,1.61436
04/01/2017,3,1.56305
04/01/2017,4,1.73397
04/01/2017,5,2.06097
04/01/2017,6,2.4702
04/01/2017,7,2.90136
04/01/2017,8,3.11089
04/01/2017,9,3.07654
04/01/2017,10,3.05834
04/01/2017,11,3.29899
04/01/2017,12,3.50524
04/01/2017,13,3.38497
04/01/2017,14,3.08297
04/01/2017,15,1.7834
04/01/2017,16,1.7999
04/01/2017,17,1.74904
04/01/2017,18,1.4827
04/01/2017,19,1.75576
04/01/2017,20,2.44364
04/01/2017,21,2.51354
04/01/2017,22,2.70735
04/01/2017,23,2.75594
04/01/2017,24,2.38254
04/01/2017,25,2.01367
04/01/2017,26,2.03044
04/01/2017,27,2.08375
04/01/2017,28,1.62598
04/01/2017,29,1.63375
04/01/2017,30,1.4399
04/01/2017,31,1.37696
04/01/2017,32,1.5448
04/01/2017,33,1.48313
04/01/2017,34,1.3836
04/01/2017,35,1.4125
04/01/2017,36,1.27343
04/01/2017,37,1.55869
04/01/2017,38,1.53989
04/01/2017,39,2.31767
04/01/2017,40,2.10834
04/01/2017,41,2.04563
04/01/2017,42,1.67836
04/01/2017,43,1.70379
04/01/2017,44,1.74404
04/01/2017,45,1.44928
04/01/2017,46,0.97314
04/01/2017,47,1.41265
04/01/2017,48,1.63772
05/01/2017,1,1.24642
05/01/2017,2,1.9257
05/01/2017,3,2.39959
05/01/2017,4,1.68734
05/01/2017,5,1.97757
05/01/2017,6,2.13076
05/01/2017,7,1.69472
05/01/2017,8,1.84888
05/01/2017,9,2.09401
05/01/2017,10,2.06592
05/01/2017,11,2.47084
05/01/2017,12,2.48055
05/01/2017,13,2.75189
05/01/2017,14,2.64061
05/01/2017,15,3.06043
05/01/2017,16,3.33192
05/01/2017,17,3.0978
05/01/2017,18,2.94366
05/01/2017,19,3.11637
05/01/2017,20,2.9588
05/01/2017,21,2.52169
05/01/2017,22,2.39356
05/01/2017,23,2.21986
05/01/2017,24,1.91006
05/01/2017,25,1.91415
05/01/2017,26,1.91629
05/01/2017,27,2.19302
05/01/2017,28,1.97134
05/01/2017,29,2.37727
05/01/2017,30,2.01938
05/01/2017,31,2.41446
05/01/2017,32,2.44786
05/01/2017,33,1.831
05/01/2017,34,1.93421
05/01/2017,35,1.77279
05/01/2017,36,1.72038
05/01/2017,37,1.69963
05/01/2017,38,1.86238
05/01/2017,39,2.95829
05/01/2017,40,3.07433
05/01/2017,41,2.19253
05/01/2017,42,2.21919
05/01/2017,43,2.29127
05/01/2017,44,2.1975
05/01/2017,45,2.11392
05/01/2017,46,1.95604
05/01/2017,47,2.47279
05/01/2017,48,2.67203
